id,match_id,frame_number,timestamp,tracked_objects,ball_position,created_at,analysis_scope,speed,distance,has_ball,object_type,tracker_id,team_id,x,y,x_transformed,y_transformed
cc2d2918-7f14-464a-9fe4-6873481576eb,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3059,1,846,158,17.9856147766113,8.02574348449707
26a8c29d-f51b-4192-a37d-09cc2ecc699b,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3209,1,974,398,20.0561981201172,42.3067436218262
80fb44fb-4d1d-4435-b77c-5c76d5927e27,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4011,2,312,452,0.85201621055603,49.1761054992676
50c83b1e-4496-4bc6-af5c-a4ec03713456,19649b2c-71ea-4590-a90e-41d2a130dd2e,2499,104.125,[],null,2025-10-26 10:32:00.461526+00,full,10.9480452435005,25.1648490919195,false,player,4011,2,317,456,0.992541551589966,49.6739807128906
d9056ccd-9b72-49a9-af9c-dc4a8e3f9628,19649b2c-71ea-4590-a90e-41d2a130dd2e,2499,104.125,[],null,2025-10-26 10:32:00.461526+00,full,5.98326338410706,42.5772375206723,false,player,4091,1,331,255,1.50171506404877,22.6765956878662
e27f8c02-19c4-4b15-81c6-d231065c15b2,5615740e-24ac-46dd-836a-b6197bfe90ae,2499,104.125,[],null,2025-10-26 08:22:51.21202+00,full,5.7198307439395,44.147637837454,false,player,3462,2,890,143,19.369607925415,7.94842958450317
fd92a593-deb6-46a7-ba58-9fb36109c8d8,5615740e-24ac-46dd-836a-b6197bfe90ae,2499,104.125,[],null,2025-10-26 08:22:51.21202+00,full,5.40106965023822,61.0161770103485,false,player,3298,1,953,453,18.9269466400146,51.0981750488281
a9ae95cb-8f81-4c59-8b03-d5890a14a028,5615740e-24ac-46dd-836a-b6197bfe90ae,2499,104.125,[],null,2025-10-26 08:22:51.21202+00,full,6.19722860393642,221.653758799236,false,player,2247,1,994,270,21.5433444976807,26.909740447998
33bcd890-0119-4b54-bff7-f757fdc710d4,19649b2c-71ea-4590-a90e-41d2a130dd2e,2499,104.125,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4479,2,536,307,7.62517690658569,30.0703430175781
52d02a38-50da-41b2-ba45-11f182dfba06,5615740e-24ac-46dd-836a-b6197bfe90ae,2499,104.125,[],null,2025-10-26 08:22:51.21202+00,full,5.95053050179004,42.220615355536,false,player,3307,1,596,271,9.48481845855713,27.0514602661133
